,Wartosc,Opis,Score
0,Asertywnosc,"z szacunkiem bronic swoich praw i prosic o to, czego chce",-1
1,Autentycznosc,"byc autentycznym, prawdziwym, byc wiernym sobie",0
2,Bezpieczenstwo,"chronic lub zapewniac bezpieczenstwo sobie lub innym, w tym finansowe",0
3,Ciekawosc,"byc ciekawym, otwartym i zainteresowanym, badac i odkrywac",0
4,Czyste sumienie,"Postepowac zgodnie z wlasnym sumieniem, z wlasnymi wartosciami",0
5,Dbanie o siebie,dbac o swoje zdrowie i dobre samopoczucie i zaspokajanie wlasnych potrzeb,0
6,Efektywnosc,"byc efektywnym, wykorzystywac zasoby w optymalny sposob",0
7,Ekscytacja,"poszukiwac i angazowac sie w dzialania, ktore sa ekscytujace, stymulujace lub emocjonujace",1
8,Elastycznosc,"byc elastycznym, latwo sie dostosowywac do zmieniajacych sie okolicznosci",1
9,Madrosc,"byc madrym i kompetentnym, miec wlasne zdanie na wiekszosc tematow",0
10,Odpowiedzialnosc,"byc odpowiedzialnym za swoje dzialania, odpowiadac za siebie",0
11,Odwaga,"byc odwaznym, dzielnym; wytrwac w obliczu strachu, zagrozenia lub trudnosci",0
12,Samoswiadomosc,"byc swiadomym wlasnych mysli, uczuc i dzialan",0
13,Sprawiedliwosc,"byc sprawiedliwym, dbac o sprawiedliwosc, uczciwosc",0
14,Sprawnosc fizyczna,"byc sprawnym, utrzymywac lub poprawiac sprawnosc fizyczna, dbac o zdrowie fizyczne i psychiczne oraz dobre samopoczucie",1
15,Uczciwosc,"byc uczciwym, prawdomownym i szczerym wobec siebie i innych, szlachetnym, prawym",1
16,Wklad,"wnosic wklad, pomagac, dokonywac pozytywnych zmian, wspierac siebie lub innych",1
17,Wolnosc,"byc wolnym; wybierac, jak zyje i zachowuje sie, lub pomagac innym robic to samo, w tym wolnosc finansowa",0
18,Wspieranie,"byc wspierajacym, pomocnym, dostepnym dla siebie lub innych",0
19,Zabawa,"kochac zabawe i rozrywka, poszukiwac okazji do zabawy, angazowac sie w dzialania pelne zabawy",0
20,Humor,dostrzegac i doceniac humorystyczna strone zycia,0
21,Intymnosc,"otwierac sie, ujawniac sie emocjonalnie lub fizycznie w bliskich relacjach",0
22,Milosc,zachowywac sie z miloscia lub czuloscia wobec siebie lub innych,1
23,Niezaleznosc,"byc samowystarczalnym i wybierac wlasny sposob dzialania, w tym finansowa",1
24,Perfekcjonizm,"byc perfekcyjnym, doskonalym, idealnie wykonywac zadania",-2
25,Przygoda,"byc zadnym przygod, aktywnie poszukiwac, odkrywac nowe lub stymulujace doswiadczenia",-1
26,Przyjemnosc,sprawiac przyjemnosc sobie lub innym,0
27,Rozwoj,"ciagle sie rozwijac, zdobywac wiedze, doskonalic umiejetnosci, rozwijac charakter, zdobywac doswiadczenie zyciowe",-1
28,Harmonia,"rownowaga emocjonalna, spokoj",-1
29,Spontanicznosc,"kierowac sie sercem i potrzeba chwili, nie planem i rozumem",0
30,Wyzwanie,"stawiac sobie wyzwania, aby sie rozwijac, uczyc, doskonalic",0
31,Zaufanie,"byc godnym zaufania, byc lojalnym, wiernym, szczerym i niezawodnym",-1
32,zyczliwosc,"byc zyczliwym, wspolczujacym, troskliwym, troszczyc sie o siebie lub innych",0
